,货号,通用名,剂型,规格,生产厂家,批准文号,单位
1,08273,感冒止咳颗粒,颗粒剂,10g*9袋,江西铜鼓仁和制药有限公司,国药准字Z20055505,盒
2,08274,复方鲜竹沥液,合剂,每瓶装10毫升,江西远东药业有限公司,国药准字Z20153065,盒
3,08275,蒲地蓝消炎片,片剂(薄膜衣片),每片重0.3g,湖南方盛制药股份有限公司,国药准字Z20043422,盒
4,08276,板蓝根颗粒,颗粒剂,10g*20袋,江西药都樟树制药有限公司,国药准字Z36021849,包
5,08277,知柏地黄丸,丸剂(浓缩丸),每8丸相当于原生药3克,江西药都樟树制药有限公司,国药准字Z36021779,瓶
6,08278,胃痛宁片,片剂,片芯重0.25g(糖衣片);每片重0.26g(薄膜衣片),陕西华西制药股份有限公司,国药准字Z20023310,盒
7,08279,蒙脱石散,散剂,每袋含蒙脱石3克,湖北汇中制药股份有限公司,国药准字H20067391,盒
8,08280,强力枇杷露,糖浆剂,每瓶装150毫升,江西药都樟树制药有限公司,国药准字Z36021750,瓶
9,08281,氧氟沙星滴耳液,耳用制剂,5ml:15mg,武汉诺安药业有限公司,国药准字H20083321,瓶
10,08282,盐酸氟桂利嗪胶囊,胶囊剂,5mg(以C26H26F2N2计算),山西振东安特生物制药有限公司,国药准字H14020844,盒
11,08283,藏青果喉片,片剂,每片重0.5g(成人用:每片含干浸膏40mg),广西圣特药业有限公司,国药准字Z45020796,盒
12,08284,维生素C咀嚼片,片剂,0.1g*80s,江西新赣江药业有限公司,国药准字H36022276,盒
13,08285,阿莫西林克拉维酸钾片(4:1),片剂(薄膜衣),0.3125g(阿莫西林0.25g和克拉维酸0.0625g),山西同达药业有限公司,国药准字H20063684,盒
14,08287,川贝清肺糖浆,糖浆剂,每支装10ml;100ml,江西铜鼓仁和制药有限公司,国药准字Z36021507,瓶
15,08288,头孢克肟片,片剂,0.1g*8片,湖南方盛制药股份有限公司,国药准字H20093161,盒
16,08290,颈康胶囊,胶囊剂,每粒装0.31g,江西铜鼓仁和制药有限公司,国药准字Z20090430,盒
17,08291,辣椒风湿膏,橡胶膏剂,7&#215;10厘米,江西吉安三力制药有限公司,国药准字Z19983088,盒
18,08292,润肠胶囊,胶囊剂,每粒装0.3g,海南海神同洲制药有限公司,国药准字Z20050531,盒
